Group,Accuracy,Weighted Alignment,kendall tau Rank Correlation
Christian_Catholic,16.823502319307828,20.18944950736268,
Christian_Protestant,16.382447486771476,19.470430865548334,
Jewish,16.81583014177249,19.268321744305368,
Orthodox_Christian,15.72382402385257,18.09278831637164,
Jewish_White,19.59752952355097,21.985101901461725,
Christian_Protestant_Asian,15.86546711445591,20.137566589081743,
Christian_Protestant_Hawaiian,16.208227049625666,19.15914771313365,
Orthodox_Christian_Hawaiian,17.389283299526706,20.646523839936133,
Christian_Catholic_Asian,15.227052359405299,18.903464018477372,
Jewish_White_Right,17.220761816401218,20.09079025873229,
Christian_Protestant_Asian_Left,14.200680272108842,18.679846938775498,
Christian_Protestant_Hawaiian_Centrist,18.864932266382578,21.77811487723297,
Orthodox_Christian_Hawaiian_Centrist,16.95638432364096,19.80579722753536,
Christian_Catholic_Asian_Left,14.720600500417014,18.078453013267122,
Jewish_White_50k_to_70k,20.019308407934,22.10200006503631,
Christian_Protestant_Asian_50k_to_70k,15.544946436888681,18.934245710393277,
Christian_Protestant_Hawaiian_25k_to_49k,17.331774920687927,20.023184968233,
Orthodox_Christian_Hawaiian_25k_to_49k,20.0961831396614,23.128420573465725,
Christian_Catholic_Asian_50k_to_70k,17.327272727272728,20.204116480279257,
Christian_Protestant_Hispanic_Latino_50k_to_70k,17.512980439538907,20.854381278525754,
Christian_Protestant_Hispanic_Latino_25k_to_49k,16.855898008241756,19.66583281214106,
Jewish_White_with_Bachelor,20.524629555466557,22.698901416889868,
Christian_Protestant_Asian_with_Bachelor,16.224188790560472,19.83411819734843,
Christian_Protestant_Hawaiian_with_Upper_Secondary,17.519295268113307,20.105744327102112,
Orthodox_Christian_Hawaiian_with_Upper_Secondary,17.820010638812324,19.910968776714437,
Christian_Catholic_Asian_with_Bachelor,16.117256637168143,19.337536649155336,
Christian_Protestant_Hispanic_Latino_with_Bachelor,17.28887065580496,20.63433497116822,
Jewish_White_with_Full-Time_Job,18.289443289443287,20.500065604447514,
Christian_Protestant_Hawaiian_Unemployed,18.901459990291624,22.32705610143429,
Orthodox_Christian_Hawaiian_Unemployed,18.397108843537417,21.066931014426057,
